IRI,LABEL,LOCAL,TYPE,SOURCE,LINK,ALT_LABELS,SYNONYMS,COMMENT
https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#HighVoltageCurrentConnection,HighVoltageCurrentConnection,HighVoltageCurrentConnection,Class,Ontology : BWMD,ontologies/BWMD/,,,
http://purl.obolibrary.org/obo/STATO_0000331,histogram distribution,STATO_0000331,Class,Ontology : stato,ontologies/stato/,,,
https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#History,History,History,Class,Ontology : BWMD,ontologies/BWMD/,,,Class defined by the Basic Formal Ontology (BFO)
http://purl.obolibrary.org/obo/BFO_0000182,history,BFO_0000182,Class,Ontology : mwo,ontologies/mwo/,,,
http://purl.obolibrary.org/obo/BFO_0000184,history of,BFO_0000184,ObjectProperty,Ontology : mwo,ontologies/mwo/,,,
http://purl.obolibrary.org/obo/STATO_0000277,hit selection,STATO_0000277,Class,Ontology : stato,ontologies/stato/,,,
http://purl.org/spar/pro/holdsRoleInTime,holds role in time,holdsRoleInTime,ObjectProperty,Ontology : pko,ontologies/pko/,,,
http://emmo.info/emmo#EMMO_0277f24a_ea7f_4917_81b7_fb0406c8fc62,Holistic,EMMO_0277f24a_ea7f_4917_81b7_fb0406c8fc62,Class,Ontology : GPO,ontologies/GPO/,Wholistic,,"An holistic perspective considers each part of the whole as equally important, without the need of a granularity hierarchy (in time or space). The interest is on the whole 4D object and on its 4D parts (how they contribute to the whole, i.e. their roles), without going further into specifying the spatial hierarchy or the temporal position of each part.

This class allows the picking of parts without necessarily going trough a rigid hierarchy of spatial compositions (e.g. body -> organ -> cell -> molecule) or temporal composition. This is inline with the transitive nature of parrhood, as it is usually defined in literature."
http://emmo.info/emmo#EMMO_65a007dc_2550_46b0_b394_3346c67fbb69,HolisticSystem,EMMO_65a007dc_2550_46b0_b394_3346c67fbb69,Class,Ontology : GPO,ontologies/GPO/,,,"A system is conceived as an aggregate of things that 'work' (or interact) together. While a system extends in time through distinct temporal parts (like every other 4D object), this elucdation focuses on a timescale in which the obejct shows a persistence in time."
http://purl.obolibrary.org/obo/STATO_0000551,Holm false discovery rate correction,STATO_0000551,Class,Ontology : stato,ontologies/stato/,,,
http://purl.obolibrary.org/obo/OBI_0200066,Holm-Bonferroni family-wise error rate correction method,OBI_0200066,Class,Ontology : stato,ontologies/stato/,,,
https://www.iwm.fraunhofer.de/ontologies/bwmd-ontology#Holmium,Holmium,Holmium,Class,Ontology : BWMD,ontologies/BWMD/,,,
http://emmo.info/emmo/domain/periodic-table#EMMO_fd03c660-7b3b-5451-9d78-bc48836e1cc6,HolmiumAtom,EMMO_fd03c660-7b3b-5451-9d78-bc48836e1cc6,Class,Ontology : GPO,ontologies/GPO/,,,
http://emmo.info/emmo/domain/periodic-table#EMMO_e0136ad7-1435-5292-9ed6-9848b481d503,HolmiumSymbol,EMMO_e0136ad7-1435-5292-9ed6-9848b481d503,Class,Ontology : GPO,ontologies/GPO/,,,
http://xmlns.com/foaf/0.1/homepage,homepage,homepage,AnnotationProperty,Ontology : opmw,ontologies/opmw/,,,
http://usefulinc.com/ns/doap#homepage,homepage,homepage,AnnotationProperty,Ontology : stato,ontologies/stato/,,,
http://purl.obolibrary.org/obo/STATO_0000552,Hommel false discovery rate correction,STATO_0000552,Class,Ontology : stato,ontologies/stato/,,,
http://purl.obolibrary.org/obo/NCBITaxon_9606,Homo sapiens,NCBITaxon_9606,Class,Ontology : stato,ontologies/stato/,,,
http://purl.obolibrary.org/obo/STATO_0000697,homogeneity test,STATO_0000697,Class,Ontology : stato,ontologies/stato/,,,
http://purl.obolibrary.org/obo/STATO_0000173,homogeneity test objective,STATO_0000173,Class,Ontology : stato,ontologies/stato/,,,
http://emmo.info/emmo#EMMO_e024544d_e374_45b7_9340_1982040bc6b7,Homonuclear,EMMO_e024544d_e374_45b7_9340_1982040bc6b7,Class,Ontology : GPO,ontologies/GPO/,ElementalMolecule,,
http://purl.obolibrary.org/obo/STATO_0000054,homoskedasticity hypothesis,STATO_0000054,Class,Ontology : stato,ontologies/stato/,,,
http://purl.obolibrary.org/obo/STATO_0000137,homoskedasticity test,STATO_0000137,Class,Ontology : stato,ontologies/stato/,,,
http://purl.obolibrary.org/obo/STATO_0000653,Hosmer-Lemeshow goodness-of-fit test,STATO_0000653,Class,Ontology : stato,ontologies/stato/,,,
